Name,Date,Prev_close,Close,Per_diff
PEARLPOLY,01-04-2020 00:00,12.95,12.4,-4.247104247
PEARLPOLY,04-05-2020 00:00,12.4,10.7,-13.70967742
PEARLPOLY,01-06-2020 00:00,10.7,15.3,42.99065421
PEARLPOLY,01-07-2020 00:00,15.3,16.8,9.803921569
PEARLPOLY,18-08-2020 00:00,20.1,17.4,-13.43283582
PEARLPOLY,01-09-2020 00:00,17.4,17.8,2.298850575
PEARLPOLY,01-10-2020 00:00,17.8,16,-10.11235955
PEARLPOLY,02-11-2020 00:00,16,16.65,4.0625
PEARLPOLY,01-12-2020 00:00,16.65,20.55,23.42342342
PEARLPOLY,01-01-2021 00:00,20.55,18,-12.40875912
PEARLPOLY,01-02-2021 00:00,18,15.3,-15
PEARLPOLY,01-03-2021 00:00,15.3,14.05,-8.169934641
PEARLPOLY,01-04-2021 00:00,14.05,15.6,11.03202847
PEARLPOLY,03-05-2021 00:00,15.6,15.95,2.243589744
PEARLPOLY,01-06-2021 00:00,15.95,17.15,7.523510972
PEARLPOLY,01-07-2021 00:00,17.15,18.1,5.539358601
PEARLPOLY,02-08-2021 00:00,18.1,15.75,-12.98342541
PEARLPOLY,01-09-2021 00:00,15.75,14.9,-5.396825397
PEARLPOLY,01-10-2021 00:00,14.9,15.1,1.342281879
PEARLPOLY,01-11-2021 00:00,15.1,15.1,0
PEARLPOLY,01-12-2021 00:00,15.1,17.65,16.88741722
PEARLPOLY,03-01-2022 00:00,17.65,18.9,7.082152975
PEARLPOLY,01-02-2022 00:00,18.9,20.55,8.73015873
PEL,01-01-2020 00:00,1523.55,1545.25,1.424305077
PEL,01-02-2020 00:00,1545.25,1306.55,-15.44733862
PEL,02-03-2020 00:00,1306.55,939.5,-28.09306953
PEL,01-04-2020 00:00,939.5,988.75,5.24215008
PEL,04-05-2020 00:00,988.75,967.7,-2.128950695
PEL,01-06-2020 00:00,967.7,1363.8,40.93210706
PEL,01-07-2020 00:00,1363.8,1473.4,8.036368969
PEL,03-08-2020 00:00,1473.4,1367.3,-7.201031628
PEL,01-09-2020 00:00,1367.3,1253.5,-8.322972281
PEL,01-10-2020 00:00,1253.5,1262.25,0.698045473
PEL,02-11-2020 00:00,1262.25,1388.1,9.970291147
PEL,01-12-2020 00:00,1388.1,1428.65,2.921259275
PEL,01-01-2021 00:00,1428.65,1311.45,-8.203548805
PEL,01-02-2021 00:00,1311.45,1829.25,39.48301498
PEL,01-03-2021 00:00,1829.25,1753.15,-4.160174935
PEL,01-04-2021 00:00,1753.15,1680.2,-4.161081482
PEL,03-05-2021 00:00,1680.2,1816.2,8.094274491
PEL,01-06-2021 00:00,1816.2,2398.25,32.04768197
PEL,01-07-2021 00:00,2398.25,2318.6,-3.321171688
PEL,02-08-2021 00:00,2318.6,2606.65,12.42344518
PEL,01-09-2021 00:00,2606.65,2595.8,-0.416243071
PEL,01-10-2021 00:00,2595.8,2601.75,0.229216427
PEL,01-11-2021 00:00,2601.75,2418.35,-7.049101566
PEL,01-12-2021 00:00,2418.35,2643.9,9.326606984
